b,num_physical_stroke,end_point_x,num_stroke,num_brush,end_point_y,theta_deg,start_point_x,theta_rad,g,r,start_point_y,Unnamed: 0,Unnamed: 0.1
153.0,219.0,569.243014053607,36.0,1.0,333.9480819226825,119.61940884590148,544.3767156400323,2.0877525336502107,196.0,197.0,319.8109144566717,218.0,218.0
153.0,220.0,559.2997031801053,36.0,1.0,351.4376770621536,119.61940884590148,534.4334047665309,2.0877525336502107,196.0,197.0,337.3005095961429,219.0,219.0
153.0,221.0,549.3563923066039,36.0,1.0,368.9272722016247,119.61940884590148,524.4900938930292,2.0877525336502107,196.0,197.0,354.79010473561385,220.0,220.0
153.0,222.0,548.3620612192537,36.0,1.0,370.6762317155718,119.61940884590148,523.4957628056791,2.0877525336502107,196.0,197.0,356.539064249561,221.0,221.0
202.0,236.0,474.0022705512574,40.0,1.0,283.0962655811597,123.30387353897096,423.4572620955671,2.152058573717756,192.0,165.0,249.8895090004649,235.0,235.0
202.0,237.0,462.9490220866259,40.0,1.0,299.9207493499975,123.30387353897096,412.4040136309356,2.152058573717756,192.0,165.0,266.7139927693028,236.0,236.0
202.0,238.0,460.7383723936997,40.0,1.0,303.2856461037651,123.30387353897096,410.1933639380093,2.152058573717756,192.0,165.0,270.0788895230703,237.0,237.0
206.0,245.0,237.2378867359431,43.0,1.0,369.7375846370874,92.5381314754486,140.07948845677228,1.6150950778899764,210.0,183.0,365.43077136581786,244.0,244.0
206.0,246.0,236.60093613353055,43.0,1.0,384.10670082937287,92.5381314754486,139.44253785435978,1.6150950778899764,210.0,183.0,379.7998875581035,245.0,245.0
174.0,253.0,559.006108927567,46.0,1.0,35.169886426950285,22.444881945848465,539.0365128015557,0.3917370901764873,195.0,201.0,83.51223969461554,252.0,252.0
174.0,254.0,577.5194088871851,46.0,1.0,42.817489370610815,22.444881945848465,557.5498127611738,0.3917370901764873,195.0,201.0,91.15984263827607,253.0,253.0
174.0,255.0,596.0327088468033,46.0,1.0,50.46509231427135,22.444881945848465,576.063112720792,0.3917370901764873,195.0,201.0,98.80744558193663,254.0,254.0
174.0,256.0,606.2150238245932,46.0,1.0,54.67127393328465,22.444881945848465,586.245427698582,0.3917370901764873,195.0,201.0,103.01362720094994,255.0,255.0
173.0,264.0,101.2374463168864,49.0,1.0,86.32254137625453,136.66727185249331,59.17513664121736,2.3852938735441778,197.0,211.0,41.73815434000007,263.0,263.0
173.0,265.0,86.60520747376542,49.0,1.0,100.12705462362143,136.66727185249331,44.542897798096384,2.3852938735441778,197.0,211.0,55.54266758736696,264.0,264.0
173.0,266.0,71.97296863064443,49.0,1.0,113.93156787098832,136.66727185249331,29.91065895497539,2.3852938735441778,197.0,211.0,69.34718083473389,265.0,265.0
173.0,267.0,57.34072978752344,49.0,1.0,127.73608111835524,136.66727185249331,15.278420111854407,2.3852938735441778,197.0,211.0,83.15169408210076,266.0,266.0
255.0,308.0,239.73693316284297,63.0,1.0,484.6108283936405,137.35106348991394,201.53187395394264,2.397228289014772,255.0,255.0,443.1342943721998,307.0,307.0
255.0,309.0,224.88091196110875,63.0,1.0,498.2950761981349,137.35106348991394,186.6758527522084,2.397228289014772,255.0,255.0,456.8185421766941,308.0,308.0
255.0,310.0,223.3953098409353,63.0,1.0,499.6635009785842,137.35106348991394,185.19025063203495,2.397228289014772,255.0,255.0,458.18696695714345,309.0,309.0
186.0,321.0,586.2128583420565,68.0,1.0,406.25464392174536,55.99529206752777,525.9152900976006,0.9773022121942224,201.0,206.0,446.93307638047247,320.0,320.0
186.0,322.0,597.4289191082654,68.0,1.0,422.8801908911532,55.99529206752777,537.1313508638095,0.9773022121942224,201.0,206.0,463.5586233498802,321.0,321.0
186.0,323.0,608.6449798744743,68.0,1.0,439.505737860561,55.99529206752777,548.3474116300184,0.9773022121942224,201.0,206.0,480.184170319288,322.0,322.0
186.0,324.0,619.3002376023727,68.0,1.0,455.3000074814984,55.99529206752777,559.0026693579168,0.9773022121942224,201.0,206.0,495.97843994022537,323.0,323.0
163.0,339.0,564.0123267576553,74.0,1.0,189.61849993765904,53.37695181369782,544.9908309771506,0.9316035538273858,200.0,187.0,203.7569849853446,338.0,338.0
163.0,340.0,565.230121852399,74.0,1.0,191.25688510962487,53.37695181369782,546.2086260718945,0.9316035538273858,200.0,187.0,205.3953701573104,339.0,339.0
192.0,359.0,543.3120481304068,80.0,1.0,270.4542072764792,70.59872388839722,490.1233256935412,1.2321801795589051,214.0,216.0,289.1862447823508,358.0,358.0
192.0,360.0,545.3681366668976,80.0,1.0,276.2923721017818,70.59872388839722,492.179414230032,1.2321801795589051,214.0,216.0,295.0244096076534,359.0,359.0
190.0,363.0,559.8714489099618,82.0,1.0,32.000736654253856,128.21816325187686,533.5458294874064,2.23782910960485,205.0,231.0,11.271000228547006,362.0,362.0
190.0,364.0,551.8144235377214,82.0,1.0,42.23271352417908,128.21816325187686,525.4888041151657,2.23782910960485,205.0,231.0,21.50297709847223,363.0,363.0
185.0,371.0,380.0966679412848,86.0,1.0,20.227114533723352,34.42953497171402,338.0481298702502,0.6009087451869424,201.0,207.0,81.56959898937956,370.0,370.0
185.0,372.0,396.8394919451717,86.0,1.0,31.70384683094539,34.42953497171402,354.7909538741372,0.6009087451869424,201.0,207.0,93.0463312866016,371.0,371.0
185.0,373.0,412.7451747488642,86.0,1.0,42.60674251330633,34.42953497171402,370.69663667782976,0.6009087451869424,201.0,207.0,103.94922696896252,372.0,372.0
223.0,383.0,66.3632945873144,91.0,1.0,39.39668793476472,149.8792862892151,29.86264185519508,2.615887026285997,222.0,228.0,-23.51780923101787,382.0,382.0
223.0,384.0,48.92248688287975,91.0,1.0,49.51519629238169,149.8792862892151,12.42183415076043,2.615887026285997,222.0,228.0,-13.3993008734009,383.0,383.0
223.0,385.0,31.48167917844512,91.0,1.0,59.633704649998656,149.8792862892151,-5.018973553674208,2.615887026285997,222.0,228.0,-3.2807925157839333,384.0,384.0
223.0,386.0,14.040871474010489,91.0,1.0,69.75221300761561,149.8792862892151,-22.45978125810885,2.615887026285997,222.0,228.0,6.837715841833031,385.0,385.0
223.0,387.0,8.808629162680091,91.0,1.0,72.7877655149007,149.8792862892151,-27.69202356943924,2.615887026285997,222.0,228.0,9.873268349118122,386.0,386.0
203.0,388.0,109.81719005578545,92.0,1.0,435.3190171977392,97.15396642684937,-11.817297994128346,1.6956565955205518,195.0,196.0,420.05228318430153,387.0,387.0
203.0,389.0,107.30100347080476,92.0,1.0,455.3662039000682,97.15396642684937,-14.333484579108989,1.6956565955205518,195.0,196.0,440.09946988663046,388.0,388.0
203.0,390.0,104.78481688582411,92.0,1.0,475.4133906023972,97.15396642684937,-16.849671164089635,1.6956565955205518,195.0,196.0,460.1466565889595,389.0,389.0
203.0,391.0,102.26863030084348,92.0,1.0,495.460577304726,97.15396642684937,-19.365857749070283,1.6956565955205518,195.0,196.0,480.1938432912885,390.0,390.0
203.0,392.0,100.7589183498551,92.0,1.0,507.4888893261237,97.15396642684937,-20.875569700058676,1.6956565955205518,195.0,196.0,492.2221553126858,391.0,391.0
219.0,393.0,102.7238642937493,93.0,1.0,197.27334670452564,46.17919027805328,69.7029338417393,0.8059789162569855,211.0,194.0,228.96231074591185,392.0,392.0
219.0,394.0,116.63239103369504,93.0,1.0,211.7664836076397,46.17919027805328,83.61146058168505,0.8059789162569855,211.0,194.0,243.45544764902596,393.0,393.0
219.0,395.0,129.8454914366435,93.0,1.0,225.5349636655981,46.17919027805328,96.82456098463348,0.8059789162569855,211.0,194.0,257.22392770698434,394.0,394.0
220.0,396.0,478.388227555645,94.0,1.0,463.5632057039096,83.01845133304595,396.45710917859583,1.4489453156683276,255.0,255.0,473.5963005657964,395.0,395.0
220.0,397.0,480.8560333660685,94.0,1.0,483.7155208936565,83.01845133304595,398.9249149890193,1.4489453156683276,255.0,255.0,493.7486157555433,396.0,396.0
220.0,398.0,482.21332656180135,94.0,1.0,494.79929424801736,83.01845133304595,400.2822081847522,1.4489453156683276,255.0,255.0,504.8323891099041,397.0,397.0
206.0,399.0,281.7494119038737,95.0,1.0,4.460557731199693,18.000000268220898,266.84914554925825,0.3141592700403172,209.0,190.0,50.31886145986106,398.0,398.0
206.0,400.0,300.9933204716494,95.0,1.0,10.713282756973204,18.000000268220898,286.09305411703394,0.3141592700403172,209.0,190.0,56.57158648563456,399.0,399.0
206.0,401.0,320.2372290394252,95.0,1.0,16.96600778274671,18.000000268220898,305.3369626848097,0.3141592700403172,209.0,190.0,62.82431151140807,400.0,400.0
206.0,402.0,339.4811376072008,95.0,1.0,23.21873280852021,18.000000268220898,324.5808712525854,0.3141592700403172,209.0,190.0,69.07703653718158,401.0,401.0
206.0,403.0,341.4055284639783,95.0,1.0,23.84400531109757,18.000000268220898,326.50526210936295,0.3141592700403172,209.0,190.0,69.70230903975893,402.0,402.0
203.0,404.0,336.6617807974046,96.0,1.0,445.2483472678375,25.03665894269943,330.090395873781,0.4369721322489874,255.0,255.0,459.3172193575769,403.0,403.0
203.0,405.0,340.3352682659277,96.0,1.0,446.96418489958194,25.03665894269943,333.7638833423041,0.4369721322489874,255.0,255.0,461.0330569893212,404.0,404.0
187.0,409.0,604.6205830999143,98.0,1.0,299.03178512110964,113.22568774223328,564.0651195584138,1.9761610489369552,224.0,229.0,281.6281645560658,408.0,408.0
187.0,410.0,596.5993931765729,98.0,1.0,317.7234748347379,113.22568774223328,556.0439296350727,1.9761610489369552,224.0,229.0,300.31985426969413,409.0,409.0
187.0,411.0,594.1930361995704,98.0,1.0,323.3309817488264,113.22568774223328,553.6375726580702,1.9761610489369552,224.0,229.0,305.92736118378264,410.0,410.0
153.0,31.0,259.52892205783843,3.0,1.0,460.3657689582164,160.4660940170288,155.03233782232903,2.8006616784119265,160.0,132.0,165.83055704859845,30.0,30.0
153.0,32.0,240.67261910004183,3.0,1.0,467.0556965822327,160.4660940170288,136.17603486453254,2.8006616784119265,160.0,132.0,172.52048467261486,31.0,31.0
153.0,33.0,221.8163161422453,3.0,1.0,473.7456242062492,160.4660940170288,117.319731906736,2.8006616784119265,160.0,132.0,179.2104122966312,32.0,32.0
